Id,Date,Topic,Text,Rank
1630445,2020-06-15,"הצעת חוק מענק לעידוד תעסוקה (הוראת שעה – נגיף הקורונה החדש), התש""ף–2020","הממשלה הזאת קמה כדי לא לפספס הזדמנות היסטורית של החלת ריבונות על עוד חבלי מולדת של ארצנו, נחלת אבותינו. ללא החלת הריבונות, אין זכות קיום לממשלה הזאת.",10
1651109,2020-10-14,שאילתות דחופות,יושב-ראש הכנסת יגלה לך שהסיפוח לא ב-hold. ריבונות בוא תבוא – – – בזמננו.,9
1656950,2020-11-10,"הודעה משותפת בדבר כינון קשרי דיפלומטיה, שלום וידידות בין מדינת ישראל לממלכת בחריין","– – השגת שלושה הסכמי שלום כבירים עם מדינות ערב וביטול הווטו הפלסטיני על השלום באזורנו, הכרה בירושלים כבירת ישראל והעברת השגרירות אליה, הכרה בריבונותנו על רמת הגולן, הכרה בחוקיות ההתיישבות וביטול הסכם הגרעין והטלת סנקציות על איראן. אגב איראן, כמה מצער, אך לא מפתיע, שנציגי המיעוט הערבי כאן בישראל – אתם, אתם כמעט היחידים בעולם, יחד עם ארגוני הטרור ואיראן, שמתנגדים להסכמי השלום האלה. אט-אט מתפכח הציבור שבחר אתכם ומבין שנציגיו בוחרים בדרך של טרור ושל חורבן והרס על פני אביב של שלום ושגשוג.",9
1670603,2021-04-26,הצעת יושב-ראש הוועדה המסדרת,"אדוני היושב-ראש, כנסת נכבדה, ""כי הנה אויביך – – – נשאו ראש. על עמך יערימו סוד, ויתיעצו על צפוניך. אמרו: לכו ונכחידם מגוי, ולא יזכר שם ישראל עוד"". תראה מה קורה, בנט, בגלל ריצת האמוק שלך לזרועות הורוביץ, אבתיסאם, מיכאלי ומנסור עבאס: אויבינו מריחים את הממשלה הרופסת, המתנצלת ואכולת השנאה העצמית שאתה הולך להקים להם. הם מבינים, בנט, שאתה שקוע עמוק בטירוף החושים הזה – אאודי ושיירה מפוארת – ואפילו לא מנסים להסתיר את מה שהם מכינים לנו: טרור בחוצות ירושלים, טילים על ערי הדרום, ילדים מבוהלים. חליפת ראש הממשלה שאתה תופר לעצמך כבר עולה לנו בדמים מרובים. לא תוכל אחר כך לרחוץ בניקיון כפיך. חזור בך. קראנו בשבת בפרקי אבות: ""רבי חנינא סגן הכוהנים אומר: הווי מתפלל בשלומה של מלכות"". אבל לשלומה של איזו מלכות אתה רוצה שנתפלל, בנט? מלכות שרוצה להפקיר את חיילי צה""ל בידי שונאי ישראל בהאג? מלכות שקוראת לאימהות לא לשלוח את ילדיהן לצבא ההגנה לישראל? מלכות עם נציגים שהתבוללותם אומנותם, שרוצה להשמיד רוחנית את העם היהודי, או מלכות שחולמת להשמיד פיזית את זיכרון יעקב? מלכות שרוצה ליישם את לקחי ההתנתקות ביהודה ושומרון? מלכות שמחבקת מחבלים? רק לפני כמה ימים דאגו יש עתיד, כן, כן, לסכל החלטה היסטורית בדירקטוריון קק""ל על גאולת קרקעות ביהודה ושומרון. אלה החברים שלכם, סער ובנט? זו המלכות שאתם רוצים להקים לנו כאן, בארץ נחלת אבותינו? זו המלכות שאתם רוצים שנתפלל לשלומה? זו מלכות הרשעה. עדיף לשבת 12 שנה במערה ולא לראות איך היא משמידה והורסת כל חלקה טובה במדינת ישראל. ישעיה הנביא התנבא: ""וגר זאב עם כבש"", אבל הוא בוודאי לא התכוון לעקוד את הכבש לפני הזאב. אתם כופתים את רוחו וגופו של העם הזה בפני אויבינו המבקשים להשמידנו. המהלך שלכם, בנט וסער, אם יקרה בסופו של דבר, ייזכר לדיראון עולם בספר דברי הימים של מדינת ישראל. אתם תצטרפו שם לליברמן וחבורתו ככאלה שהקריבו את מדינת ישראל על מזבח פולחן האישיות העצמי שלהם. חזרו בכם. יש עדיין הזדמנות להקים כאן ממשלת ימין על מלא. ותרו על השנאה – –",9
1671451,2021-05-10,הצעת חוק-יסוד: ההתגברות (תיקוני חקיקה),"והינה עכשיו – בכירים ברע""מ ובתנועה האסלאמית: לא נוכל להצטרף לשום ממשלה שתכריז או תגבה מלחמה נגד עזה. תקשיבו, חברי ימינה וחברי תקווה חדשה, פותחים לכם את העיניים עם מלקחיים. מה אתם חושבים לעצמכם? כנגד הטרור הזה ותומכיו יש לפעול ביד קשה: בעזה – חיסולים ממוקדים; בירושלים – לשבור את העצמות לפורעים הטרוריסטים. אני רוצה לאחל לירושלים בירתנו הנצחית, שהיום קצת הועם הזוהר של החג, של יום ירושלים, את חזון ישעיה: ""עורי עורי לבשי עֻזך ציון לבשי בגדי תפארתך ירושלם עיר הקֹּדש כי לא יוסיף יבֹא בך עוד ערל וטמא"". לכם, אזרחי ישראל, אני רוצה לאחל שבימיכם ובימינו תיוושע יהודה, וישראל ישכון לבטח, ובא לציון גואל, אמן. תודה רבה.",9
1673664,2021-06-09,שאילתות דחופות,"תודה, אדוני היושב-ראש. אדוני השר, בדבריך הזכרת למעשה שאין לכם, אין למינהל האזרחי – לא ניכנס כרגע לאם יש לו מוטיבציה או אין לו מוטיבציה – את היכולת, אין לו את המקל. אבל גם אם אנחנו מתכוונים להתנהל – ואני לא חושב שזה נכון, בהפרת ריבונות כזאת – בשיטה של מקל וגזר, לא ייתכן שאת המקל אין לנו ואת הגזר אנחנו נותנים להם. על מה אני מדבר? על הסדרת בנייה פלסטינית בלתי חוקית. ועדת החוץ והביטחון עדכנה בנובמבר 2020 על החלטת קבינט מנובמבר 2019 שקובעת שלא יקודמו תוכניות מתאר שיזמה הרשות הפלסטינית בדיוק בגלל ההבנה שמדובר במערכה שרוצה לחנוק יישובים ישראליים, לקטוע רצפים ישראליים; מבינים שהמערכה הזאת קיימת, והקבינט החליט לא לאשר. אם ככה, איך מטפלים מוסדות התכנון של המינהל האזרחי בתוכניות מתאר פלסטיניות? מדוע אושרו בינואר האחרון שמונה תוכניות כאלה על ידך, אדוני השר? לא ייתכן שנותנים מתנות ומצד שני לא מבצעים את מה שצריך לעשות.",8
1675219,2021-06-21,"הצעות סיעות הליכוד, ש""ס ויהדות התורה להביע אי-אמון בממשלה בשל:: 1. ממשלה שהוקמה בשקר ובהונאת הציבור ואין לה מנדט מהציבור;: 2. כוונת הממשלה למחוק את זהותה היהודית של המדינה",אתם הולכים לגרש את תושבי אביתר?,2
1675713,2021-06-21,"הצעת תקנות סמכויות מיוחדות להתמודדות עם נגיף הקורונה החדש (הוראת שעה) (הגבלת היציאה מישראל) (תיקון מס' 2), התשפ""א–2021","תשאל אותו. מנסור ייתן להם את הגיבוי, לצערי, כנראה. אז זה הדבר הראשון שקשור למכירת ארץ ישראל. הדבר השני הוא שההחלטה הראשונה, חבר הכנסת ידידי דודי אמסלם, ההחלטה הראשונה של ממשלת בנט-לפיד היא גירוש יהודים מבתיהם; כאילו חסרים כאן פחונים וקרוונים ובתים בלתי חוקיים בנגב, בגליל וביהודה ושומרון של ערבים ופלסטינים, וכל מה שכואב לממשלה הזאת זה שיש יישוב יהודי חדש, שנמצא במיקום אסטרטגי מעל צומת שהיו בו המון פיגועי טרור. קם יישוב, באו משפחות, במסירות נפש, 50 משפחות מתיישבות ביישוב היהודי אביתר, וההחלטה הראשונה של ממשלת השמאל המביישת הזאת היא לפנות את אותו יישוב, לפנות ולגרש יהודים מבתיהם. בושה וחרפה שככה נראית ממשלה שמנסה להציג את עצמה כאילו יש לה עוד ערכים של ימין. יש לי עוד רשימה ארוכה, אדוני היושב-ראש – –",10
1675878,2021-06-21,"הצעת תקנות סמכויות מיוחדות להתמודדות עם נגיף הקורונה החדש (הוראת שעה) (הגבלות על הפעלת שדות תעופה וטיסות) (תיקון מס' 19), התשפ""א–2021","ראיסי. נודיע לך, ראיסי, אל תדאג. תעשה מה שאתה רוצה, לפני שנבוא – נודיע. וההחלטה הראשונה שאמרנו – גירוש יהודים מבתיהם, היישוב היהודי אביתר. 50 משפחות הולכות להיות מגורשות מבתיהן, כאילו בכל רחבי מדינת ישראל כל הבתים הם בתים שנבנו בצורה חוקית, רק בתי היהודים באביתר זה הדבר היחיד שנשאר. ודבר נוסף שאנחנו רואים שקורה כאן מחר – כנס אנטי-ציוני, כנס שמשתמש בכנסת ישראל להביא לכאן את ארגוני החרם נגד מדינת ישראל, קורא לעצמו ""בין כיבוש לאפרטהייד"". האם חיילי צה""ל הם כובשים ואנחנו צריכים להילחם בהם כי הם כובשים, או שהם מבצעי אפרטהייד ולכן צריך להעמיד אותם לדין על פשעים נגד האנושות? זה הכנס שהממשלה הזאת מארחת מחר כאן בכנסת ישראל. והדבר שכולנו מדברים עליו לאחרונה זה הנושא – – –",9
1676314,2021-06-21,"הצעת חוק העונשין (תיקון מס' 133 – הוראת שעה) (תיקון) (הארכת תוקף), התשפ""א–2021","– – זה כבר הנאום הרביעי או החמישי שלי כאן הערב. אני רוצה לסכם את הפרקים הקודמים, אחרי שראינו עד כמה ממשלת ההונאה הזאת מסוכנת לארץ ישראל, כולל גירוש יהודים מבתיהם, וכמו לפני 16 שנה, בגירוש גוש קטיף, גם את זה הם ינסו לבצע כנראה בימי בין המצרים – ביום ראשון אנחנו מתחילים את תקופת בין המצרים, וכתוב: כל רודפיה השיגוה בין המצרים. אני מאוד מקווה שהממשלה הרעה הזאת לא תיפול לסימן הזה ותגרש 50 משפחות מבתיהן בבין המצרים. למרות – אתם יודעים – שהדבר הכי קשה בשבילנו זה גנבת הקולות. אם באמת הייתם מנצחים בשמאל, היינו מרכינים ראש, עושים חשבון נפש, מה לא עשינו טוב.",9
